case_id,prompt_index,prompt
list_event_types,1,List my event types
list_event_types,2,What meetings can people book with me?
list_event_types,3,Show me my Calendly meeting types
list_event_types,4,What event types do I have set up?
list_event_types,5,Walk me through what I'm offering on Calendly
list_event_types,6,give me my event types
list_event_types,7,Tell me about the event types on my account
list_meetings,1,What meetings do I have this week?
list_meetings,2,Show me my upcoming Coffee Chats
list_meetings,3,What's on my Calendly schedule tomorrow?
list_meetings,4,List my next 5 Calendly meetings
list_meetings,5,who's on my schedule this week?
list_meetings,6,Pull up my upcoming meetings
list_meetings,7,What Calendly bookings do I have coming up?
check_when_busy,1,Am I free Thursday afternoon?
check_when_busy,2,What's my schedule look like tomorrow?
check_when_busy,3,Do I have time for a 30-min between 2 and 4 today?
check_when_busy,4,When am I busy this Thursday?
check_when_busy,5,Show me my busy blocks for next Monday
check_when_busy,6,when am i free tomorrow morning?
check_when_busy,7,What times am I tied up Wednesday?
find_event_type_available_times,1,What slots are open for Coffee Chats next week?
find_event_type_available_times,2,When am I free for Coffee Chats Thursday?
find_event_type_available_times,3,What's my Coffee Chat availability tomorrow afternoon?
find_event_type_available_times,4,Show me when people can book a Coffee Chat next week
find_event_type_available_times,5,find me open coffee chat slots
find_event_type_available_times,6,What times are open for Coffee Chats in the next 7 days?
find_event_type_available_times,7,List Coffee Chat openings between Monday and Friday
get_scheduling_link,1,Get me the link for my Coffee Chat
get_scheduling_link,2,What's the link people use to book a Coffee Chat with me?
get_scheduling_link,3,Send me the URL for my Coffee Chat event type
get_scheduling_link,4,Drop the booking link for my Coffee Chat
get_scheduling_link,5,give me my coffee chat link
get_scheduling_link,6,Where do people sign up for a Coffee Chat with me?
get_scheduling_link,7,What's the public URL for my Coffee Chat?
reschedule_meeting,1,Reschedule my next Coffee Chat
reschedule_meeting,2,I need to move my next Coffee Chat
reschedule_meeting,3,Move my Coffee Chat with cash0902 to a different time
reschedule_meeting,4,push my next coffee chat back
reschedule_meeting,5,Help me reschedule the Coffee Chat with cash0902
reschedule_meeting,6,Can you change the time on my upcoming Coffee Chat?
reschedule_meeting,7,My next Coffee Chat needs to be moved
create_single_use_link,1,Generate a one-time scheduling link I can send a candidate for my Coffee Chat
create_single_use_link,2,Give me a single-use link for my Coffee Chat
create_single_use_link,3,Create a single-use Coffee Chat link
create_single_use_link,4,I need a one-time link for my Coffee Chat
create_single_use_link,5,make me a one-shot booking link for coffee chat
create_single_use_link,6,Send me a single-use scheduling link for my Coffee Chat
create_single_use_link,7,I want a link for one Coffee Chat booking only
create_single_use_link_custom,1,Create a single-use link for my Coffee Chat with a 15-minute duration
create_single_use_link_custom,2,Generate a 15-minute single-use link for Coffee Chat
create_single_use_link_custom,3,Make me a 15-min single-use Coffee Chat link
create_single_use_link_custom,4,I want a one-time link for my Coffee Chat but only 15 minutes long
create_single_use_link_custom,5,"coffee chat one-time link, 15 min only"
create_single_use_link_custom,6,"Single-use Coffee Chat link, override duration to 15 min"
create_single_use_link_custom,7,"Build me a one-time Coffee Chat link, 15 minutes"
update_event_type,1,Update my Coffee Chat event type to 45 minutes
update_event_type,2,Make my Coffee Chat 45 minutes instead of 30
update_event_type,3,Change Coffee Chat duration to 45 minutes
update_event_type,4,switch coffee chat to 45 min
update_event_type,5,Change Coffee Chat duration to 45
update_event_type,6,I want my Coffee Chat to be 45 minutes
update_event_type,7,Bump Coffee Chat up to a 45-minute meeting
create_event_type,1,Create a new 30-minute event type called Intro Call to meet via Zoom
create_event_type,2,Set up a 15-min Quick Sync event type
create_event_type,3,"Make a new Discovery Call event type, 30 minutes, on Google Meet"
create_event_type,4,spin up a new 30-min event type called intro
create_event_type,5,"I need a new event type: 30 min, Zoom, called Intro Call"
create_event_type,6,"Add an event type """"Quick Sync"""" that's 15 minutes"
