case_id,prompt_index,prompt,exemplar,tools_in_scope
list_event_types,1,List my event types,"Here are your event types:
- **30 Minute Meeting** — 60 minutes
- **A Managed Event** — 30 minutes
- **Coffee Chat** — 30 minutes
- **New Meeting** — 5 minutes
- **Z Managed Event** — 30 minutes",event_types-list_event_types
list_event_types,2,What meetings can people book with me?,"Here are your event types:
- **30 Minute Meeting** — 60 minutes
- **A Managed Event** — 30 minutes
- **Coffee Chat** — 30 minutes
- **New Meeting** — 5 minutes
- **Z Managed Event** — 30 minutes",event_types-list_event_types
list_event_types,3,Show me my Calendly meeting types,"Here are your event types:
- **30 Minute Meeting** — 60 minutes
- **A Managed Event** — 30 minutes
- **Coffee Chat** — 30 minutes
- **New Meeting** — 5 minutes
- **Z Managed Event** — 30 minutes",event_types-list_event_types
list_event_types,4,What event types do I have set up?,"Here are your event types:
- **30 Minute Meeting** — 60 minutes
- **A Managed Event** — 30 minutes
- **Coffee Chat** — 30 minutes
- **New Meeting** — 5 minutes
- **Z Managed Event** — 30 minutes",event_types-list_event_types
list_event_types,5,Walk me through what I'm offering on Calendly,"Here are your event types:
- **30 Minute Meeting** — 60 minutes
- **A Managed Event** — 30 minutes
- **Coffee Chat** — 30 minutes
- **New Meeting** — 5 minutes
- **Z Managed Event** — 30 minutes",event_types-list_event_types
list_event_types,6,give me my event types,"Here are your event types:
- **30 Minute Meeting** — 60 minutes
- **A Managed Event** — 30 minutes
- **Coffee Chat** — 30 minutes
- **New Meeting** — 5 minutes
- **Z Managed Event** — 30 minutes",event_types-list_event_types
list_event_types,7,Tell me about the event types on my account,"Here are your event types:
- **30 Minute Meeting** — 60 minutes
- **A Managed Event** — 30 minutes
- **Coffee Chat** — 30 minutes
- **New Meeting** — 5 minutes
- **Z Managed Event** — 30 minutes",event_types-list_event_types
list_meetings,1,What meetings do I have this week?,"Here are your upcoming Calendly meetings this week:
- **Coffee Chat** with Michael Kimelblat — Friday at 9:00–9:30 AM PT (Google Meet)
- **Coffee Chat** with Michael Kimelblat — Friday at 3:30–4:00 PM PT (Google Meet)",meetings-list_events
list_meetings,2,Show me my upcoming Coffee Chats,"Here are your upcoming Calendly meetings this week:
- **Coffee Chat** with Michael Kimelblat — Friday at 9:00–9:30 AM PT (Google Meet)
- **Coffee Chat** with Michael Kimelblat — Friday at 3:30–4:00 PM PT (Google Meet)",meetings-list_events
list_meetings,3,What's on my Calendly schedule tomorrow?,"Here are your upcoming Calendly meetings this week:
- **Coffee Chat** with Michael Kimelblat — Friday at 9:00–9:30 AM PT (Google Meet)
- **Coffee Chat** with Michael Kimelblat — Friday at 3:30–4:00 PM PT (Google Meet)",meetings-list_events
list_meetings,4,List my next 5 Calendly meetings,"Here are your upcoming Calendly meetings this week:
- **Coffee Chat** with Michael Kimelblat — Friday at 9:00–9:30 AM PT (Google Meet)
- **Coffee Chat** with Michael Kimelblat — Friday at 3:30–4:00 PM PT (Google Meet)",meetings-list_events
list_meetings,5,who's on my schedule this week?,"Here are your upcoming Calendly meetings this week:
- **Coffee Chat** with Michael Kimelblat — Friday at 9:00–9:30 AM PT (Google Meet)
- **Coffee Chat** with Michael Kimelblat — Friday at 3:30–4:00 PM PT (Google Meet)",meetings-list_events
list_meetings,6,Pull up my upcoming meetings,"Here are your upcoming Calendly meetings this week:
- **Coffee Chat** with Michael Kimelblat — Friday at 9:00–9:30 AM PT (Google Meet)
- **Coffee Chat** with Michael Kimelblat — Friday at 3:30–4:00 PM PT (Google Meet)",meetings-list_events
list_meetings,7,What Calendly bookings do I have coming up?,"Here are your upcoming Calendly meetings this week:
- **Coffee Chat** with Michael Kimelblat — Friday at 9:00–9:30 AM PT (Google Meet)
- **Coffee Chat** with Michael Kimelblat — Friday at 3:30–4:00 PM PT (Google Meet)",meetings-list_events
check_when_busy,1,Am I free Thursday afternoon?,"On Thursday, in your timezone (America/Los_Angeles), you are busy at:
- 9:00 AM – 9:30 AM PT — **Coffee Chat** with Michael Kimelblat","users-get_current_user,availability-list_user_busy_times"
check_when_busy,2,What's my schedule look like tomorrow?,"On Thursday, in your timezone (America/Los_Angeles), you are busy at:
- 9:00 AM – 9:30 AM PT — **Coffee Chat** with Michael Kimelblat","users-get_current_user,availability-list_user_busy_times"
check_when_busy,3,Do I have time for a 30-min between 2 and 4 today?,"On Thursday, in your timezone (America/Los_Angeles), you are busy at:
- 9:00 AM – 9:30 AM PT — **Coffee Chat** with Michael Kimelblat","users-get_current_user,availability-list_user_busy_times"
check_when_busy,4,When am I busy this Thursday?,"On Thursday, in your timezone (America/Los_Angeles), you are busy at:
- 9:00 AM – 9:30 AM PT — **Coffee Chat** with Michael Kimelblat","users-get_current_user,availability-list_user_busy_times"
check_when_busy,5,Show me my busy blocks for next Monday,"On Thursday, in your timezone (America/Los_Angeles), you are busy at:
- 9:00 AM – 9:30 AM PT — **Coffee Chat** with Michael Kimelblat","users-get_current_user,availability-list_user_busy_times"
check_when_busy,6,when am i free tomorrow morning?,"On Thursday, in your timezone (America/Los_Angeles), you are busy at:
- 9:00 AM – 9:30 AM PT — **Coffee Chat** with Michael Kimelblat","users-get_current_user,availability-list_user_busy_times"
