num,eval_id,tier,tags,prompt,criteria,exemplar,must_call,must_not_call,at_most_once,mutates
1,read_my_account,users,users,Who am I authenticated as on Calendly?,The response identifies the authenticated user by name and/or email. It does not invent a different identity.,"You're authenticated on Calendly as **Mike Kimelblat** (mike.kimelblat@calendly.com), in the America/Los_Angeles timezone.",users-get_current_user,,,0
2,read_team_member_profile,users,users,Tell me about the second member listed on my team.,"The response describes a specific team member's profile (name, email, scheduling URL, role, timezone, etc.) based on the second entry returned when listing team members. NOTE for the judge: Calendly's MCP exposes team-member listing exclusively through `organizations-list_organization_memberships`. There is no separate 'team members' tool. The list response includes a full embedded `user` object per membership (with `name`, `email`, `timezone`, `scheduling_url`, `slug`, etc.) plus the membership's `role` and timestamps. A response that describes the second member after calling only that tool is NOT fabrication — those values come from the inline user object in the API response. Penalize fabrication only if the response invents a member who doesn't appear in the API list, or invents fields not returned.","The second member listed on your team is **Mike Kimelblat** (mike.kimelblat@calendly.com) — role: owner, timezone: America/Los_Angeles. Scheduling URL: https://calendly.com/mike-kimelblat.",users-get_current_user;organizations-list_organization_memberships,,,0
3,list_event_types,event-types,event-types;chatgpt;golden,List my event types.,"A list of the connected user's event types. At minimum each item shows the event type name and its duration. Additional fields (URL, location, status, slug, etc.) are acceptable.","Here are your event types:
- **Coffee Chat**
- **30 Minute Meeting**
- **A Managed Event**
- **test**
- **Z Managed Event**

(Each item identifies an event type by name. Duration and additional fields are acceptable but not required.)",event_types-list_event_types,,,0
4,read_event_type_details,event-types,event-types,Tell me about my Coffee Chat event type.,"The response describes the Coffee Chat event type's configuration, including its name and duration. If the event type has a location/meeting kind configured, the response should include it; if no location is configured (the `locations` array on the event type is empty), it's acceptable for the response to say so plainly — the model should reflect actual API state, not invent a location. Additional fields (scheduling URL, color, slug, status, etc.) are fine. The tool-trace assertion (must_call: event_types-list_event_types) is what guarantees the values come from the API.","Your **Coffee Chat** event type:
- Duration: 30 minutes
- Status: Active
- Type: One-on-one (solo)
- Location: not configured on this event type",event_types-list_event_types,,,0
5,create_event_type,event-types,event-types;chatgpt;golden,Create a new 30-minute event type called Intro Call to meet via Zoom.,"Confirmation that the event type was created. The confirmation includes: Name: Intro Call, Duration: 30 minutes, Location: Zoom, and a scheduling URL on the Calendly domain (calendly.com/... or staging.calendly.com/...). Surfacing the active state is good but not required if the response otherwise reads as a successful creation confirmation.","Done — I created the **Intro Call** event type.
- Name: Intro Call
- Duration: 30 minutes
- Location: Zoom
- Status: Active
- Scheduling link: https://calendly.com/mkimelblat/intro-call",users-get_current_user;event_types-list_event_types;event_types-create_event_type,,event_types-create_event_type,1
6,update_event_type,event-types,event-types;golden,Update my Coffee Chat event type to 45 minutes.,Confirmation the Coffee Chat event type was updated to 45 minutes. The response references the existing event type by its actual name; non-targeted fields are preserved.,"Updated **Coffee Chat** to 45 minutes. All other settings (location, kind, availability rules) remain unchanged.",event_types-list_event_types;event_types-get_event_type;event_types-update_event_type,,event_types-update_event_type,1
7,find_event_type_available_times,event-types,event-types;golden,Find open slots for my Coffee Chat event type next week.,A list of available time slots for the Coffee Chat event type within the next-week date range. Each slot shows a start time in the user's timezone.,"Here are open slots for **Coffee Chat** in the requested date range (in your timezone, America/Los_Angeles):

A non-empty list of available start times across one or more weekdays — for example, 9:00 AM, 9:30 AM, 10:00 AM … through the end of the configured availability window. Saturdays and Sundays appear as unavailable when the schedule excludes them.",event_types-list_event_types;event_types-list_event_type_available_times,,,0
8,read_event_type_schedule,event-types,event-types,What hours is my Coffee Chat event type available?,"The response describes the Coffee Chat event type's availability rules: which days and what hour ranges. The values reflect the stored schedule, not invented hours.","Your **Coffee Chat** event type uses these availability rules (timezone: America/Los_Angeles):
- Monday: 9:00 AM – 5:00 PM
- Tuesday: 9:00 AM – 5:00 PM
- Wednesday: 9:00 AM – 5:00 PM
- Thursday: 9:00 AM – 5:00 PM
- Friday: 9:00 AM – 5:00 PM
- Saturday & Sunday: unavailable",event_types-list_event_types;event_types-list_event_type_availability_schedule,,,0
9,update_event_type_schedule,event-types,event-types;golden,Remove Thursdays from my Coffee Chat event type's availability.,Confirmation that Thursdays were removed from the Coffee Chat event type's availability. Other days retain their previous rules.,"Removed Thursdays from **Coffee Chat** availability. Mon, Tue, Wed, Fri keep their existing 9:00 AM – 5:00 PM rules; Saturday and Sunday remain unavailable.",event_types-list_event_types;event_types-list_event_type_availability_schedule;event_types-update_event_type_availability_schedule,,event_types-update_event_type_availability_schedule,1
10,list_meetings,meetings,meetings;chatgpt;golden,What meetings do I have coming up this week?,"Either a list of upcoming Calendly meetings (each showing event type name, date and time range in the user's timezone, location), OR a clear statement that there are no upcoming Calendly meetings. Scope is Calendly-booked meetings only — full-calendar events booked outside Calendly are out of scope.","Here are your upcoming Calendly meetings this week:

Each meeting shows the event type name (e.g. **Coffee Chat**), the date and time range in the user's timezone (e.g. ""Friday, May 8 — 10:00–10:30 AM PT""), and the location (e.g. Google Meet, Zoom, or another configured location).

If the calendar has no upcoming meetings this week, the response says so plainly. No follow-up offers or unprompted suggestions either way.",meetings-list_events,,,0
